name,price
StatTrak™ M4A1-S | Nightmare (Minimal Wear),29.78
AK-47 | Neon Revolution (Minimal Wear),27.84
USP-S | Business Class (Field-Tested),19.14
StatTrak™ Glock-18 | Bullet Queen (Well-Worn),30.88
Prof. Shahmat | Elite Crew,0.65
Spectrum Case,0.68
AWP | Exoskeleton (Minimal Wear),1.9
SSG 08 | Mainframe 001 (Minimal Wear),0.15
Blackwolf | Sabre,1.66
"Music Kit | Tim Huling, Neo Noir",2.05
Chroma Case Key,7.03
"StatTrak™ Music Kit | Skog, III-Arena",2.4
Chroma 2 Case,0.39
AWP | Sun in Leo (Factory New),15.63
★ Driver Gloves | Racing Green (Battle-Scarred),63.01
Dragomir | Sabre,0.7
M4A4 | Urban DDPAT (Well-Worn),0.19
USP-S | Forest Leaves (Minimal Wear),0.24
Desert Eagle | Bronze Deco (Minimal Wear),0.33
XM1014 | Seasons (Battle-Scarred),0.67
StatTrak™ P250 | Inferno (Minimal Wear),2.06
Sticker | DickStacy | Katowice 2019,10.12
MAC-10 | Candy Apple (Field-Tested),0.21
Sticker | NRG (Holo) | Katowice 2019,1.29
UMP-45 | Momentum (Factory New),7.4
Glock-18 | Clear Polymer (Minimal Wear),0.46
StatTrak™ CZ75-Auto | Circaetus (Minimal Wear),1.76
SG 553 | Waves Perforated (Factory New),0.14
Galil AR | Akoben (Factory New),0.42
P250 | Cassette (Factory New),0.2
M4A4 | Neo-Noir (Field-Tested),11.33
StatTrak™ AWP | Mortis (Field-Tested),6.28
CZ75-Auto | Circaetus (Factory New),0.86
AWP | Neo-Noir (Battle-Scarred),27.24
StatTrak™ AK-47 | Neon Revolution (Battle-Scarred),36.67
Sticker | Vitality (Foil) | 2020 RMR,0.29
Sticker | Hello UMP-45,0.12
CS20 Case,0.18
Number K | The Professionals,8.17
SSG 08 | Ghost Crusader (Minimal Wear),1.38
★ Talon Knife | Damascus Steel (Field-Tested),328.68
MP7 | Army Recon (Factory New),0.11
P90 | Sand Spray (Factory New),0.21
eSports 2014 Summer Case,4.42
StatTrak™ SCAR-20 | Jungle Slipstream (Field-Tested),0.14
P90 | Fallout Warning (Battle-Scarred),3.63
Galil AR | Winter Forest (Well-Worn),4.23
AWP | Acheron (Factory New),4.88
Sticker | Killjoy,1.26
Sticker | Natus Vincere | London 2018,2.59
Sticker | Natus Vincere | Krakow 2017,2.19
StatTrak™ AWP | Elite Build (Factory New),83.24
M4A4 | Zirka (Minimal Wear),22.52
StatTrak™ M4A1-S | Guardian (Factory New),70.22
Sticker | NRG | Katowice 2019,1.27
